appkey,published,review_title,review_content,review_score,date,product_title,product_url,display_name,email,md_customer_country,rating
N/A,TRUE, I think it works very , I think it works very well. I am enjoying it ,,2020-09-30 03:00:00 UTC,Product Medterra 1000mg 1:1 Ratio CBG+CBD Citrus Tincture,https://yotpo.com/go/xdICey64,Lee M.,,US,5.0 star rating
N/A,TRUE, Works great! Wonderful for a , Works great! Wonderful for a new daily routine to reset the body. ,,2020-09-21 03:00:00 UTC,Product Medterra 1000mg 1:1 Ratio CBG+CBD Citrus Tincture,https://yotpo.com/go/xdICey64,Team A.,,US,5.0 star rating
N/A,TRUE, I like how it works , I like how it works so fast and lasts a long time. ,,2020-09-20 03:00:00 UTC,Product Medterra 1000mg 1:1 Ratio CBG+CBD Citrus Tincture,https://yotpo.com/go/xdICey64,Sandra D.,,US,5.0 star rating
N/A,TRUE, High quality products that work , High quality products that work ,,2020-09-17 03:00:00 UTC,Product Medterra 1000mg 1:1 Ratio CBG+CBD Citrus Tincture,https://yotpo.com/go/xdICey64,Andre M.,,US,5.0 star rating
N/A,TRUE, High quality products that work , High quality products that work ,,2020-09-17 03:00:00 UTC,Product Medterra 1000mg 1:1 Ratio CBG+CBD Citrus Tincture,https://yotpo.com/go/xdICey64,Andre M.,,US,5.0 star rating
N/A,TRUE, Super slow shipping - but ," Super slow shipping - but that's probably because of COVID 19 problems. Good quality stuff it seems, but not sure what CBG does for me - I realize it's great for some, but I don't know what it adds to CBD oil. May not be worth the extra for the CBG oil. ",,2020-09-12 03:00:00 UTC,Product Medterra 1000mg 1:1 Ratio CBG+CBD Citrus Tincture,https://yotpo.com/go/xdICey64,George J.,,US,5.0 star rating
N/A,TRUE, I ordered this product for , I ordered this product for my son who started with the 1000 CBD oil and it helped a great deal. He now is using the the CHB/CBD 1000 and he says this one works even better and endures longer. ,,2020-09-07 03:00:00 UTC,Product Medterra 1000mg 1:1 Ratio CBG+CBD Citrus Tincture,https://yotpo.com/go/xdICey64,Helga S.,,US,5.0 star rating
N/A,TRUE, Love the products , Love the products ,,2020-09-07 03:00:00 UTC,Product Medterra 1000mg 1:1 Ratio CBG+CBD Citrus Tincture,https://yotpo.com/go/xdICey64,Peter S.,,US,5.0 star rating
N/A,TRUE, I cannot say enough how , I cannot say enough how much I enjoy Medterra. Medterra helps me to unwind at night so I can feel rested the following day. Thank you Medterra!! ,,2020-09-06 03:00:00 UTC,Product Medterra 1000mg 1:1 Ratio CBG+CBD Citrus Tincture,https://yotpo.com/go/xdICey64,Grace G.,,US,5.0 star rating
N/A,TRUE, Love Medterra products. They are , Love Medterra products. They are of the highest quality. ,,2020-09-04 03:00:00 UTC,Product Medterra 1000mg 1:1 Ratio CBG+CBD Citrus Tincture,https://yotpo.com/go/xdICey64,Pete T.,,US,5.0 star rating
N/A,TRUE, Amy Powers , I highly recommend it. ,,2020-09-20 03:00:00 UTC,Product Broad Spectrum CBD Oil Tincture,https://yotpo.com/go/uR3I3yEL,Amy P.,,US,5.0 star rating
N/A,TRUE, Strawberry mint flavor is great , I love medterra products and it is the only CBD brand I trust. I was skeptical of the strawberry mint flavor but it is really good! ,,2020-07-18 03:00:00 UTC,Product Broad Spectrum CBD Oil Tincture,https://yotpo.com/go/uR3I3yEL,Candela,,US,5.0 star rating
